"","Nama.Produk","Nama.Prosesor","Nama.GPU","Harga","Gambar","Berat","Kipas","Backlight.Keyboard","Volume","Lebar","Ketinggian","Ketebalan","Ukuran.Layar","Resolusi","Kerapatan.Piksel","Jenis.Layar","Layar.Sentuh","Anti.Pantul","RAM","Kecepatan.RAM","Penyimpanan.Flash","Penyimpanan.Internal","Kecepatan.CPU","Thread.CPU","SSD.NVME","HDMI","USB.Daya","Adaptor.Magsafe","Suara.Stereo","Konektor.Suara.3,5mm","Dolby.Atmos","Stylus","Pemindai.Sidikjari","Jumlah.Mikrofon","Pengenal.Wajah.3D"
"636","MSI Summit E14 Flip Evo A12MT-015 14"" QHD+","Intel Core i7-1260P 1.5GHz","Integrated",1799,"https://images.versus.io/objects/msi-summit-e14-flip-evo-a12mt-015-14-qhd-intel-core-i7-1260p-1-5ghz-32gb-ram-1tb-ssd.front.master.1666783632122.jpg",2.73,0,1,1047.913,319,219,15,14,"2560 x 1600px",215,"LED-backlit, LCD",1,0,32,4800,1,1024,"4 x 2.1GHz & 8 x 1.5GHz",16,1,1,1,0,1,1,0,1,0,1,1
"637","Asus ROG Strix G15 (2022) G513 15.6"" WQHD","AMD Ryzen 9 6900HX 3.3GHz","Nvidia GeForce RTX 3060 Laptop ",1380,"https://images.versus.io/objects/asus-rog-strix-g15-2022-g513-15-6-wqhd-amd-ryzen-9-6900hx-3-3ghz-nvidia-geforce-rtx-3060-laptop-32gb-ram-1tb-ssd.front.master.1671200783259.jpg",2.3,0,1,2017.093,354,259,22,15.6,"2560 x 1440px",188,"LED-backlit, IPS",0,1,32,4800,1,1024,"8 x 3.3GHz",16,1,1,1,0,1,1,1,0,0,1,0
"638","Dell XPS 15 9520","Intel Core i7-12700H 2.3GHz","Nvidia GeForce RTX 3050 Ti Laptop ",1862,"https://images.versus.io/objects/dell-xps-15-9520-intel-core-i7-12700h-2-3ghz-nvidia-geforce-rtx-3050-ti-laptop-16gb-ram-1tb-ssd.front.master.1649074827768.jpg",1.96,0,1,1466.063,344.4,230.1,18.5,15.6,"3456 x 2160px",261,"OLED/AMOLED",1,1,16,4800,1,1000,"6 x 2.3GHz & 8 x 1.7GHz",20,0,0,1,0,1,1,0,0,1,2,0
"639","Samsung Galaxy Chromebook 2 360 LTE 12.4"" WQXGA","Intel Celeron N4500 1.1GHz","Integrated",350,"https://images.versus.io/objects/samsung-galaxy-chromebook-2-360-lte-12-4-wqxga-intel-celeron-n4500-1-1ghz-4gb-ram-128gb-ssd.front.master.1685621222223.jpg",1.28,0,0,945.953,287,206,16,12.4,"2560 x 1600px",243,"LED-backlit",1,0,4,2933,1,128,"2 x 1.1GHz",2,0,0,0,0,1,1,0,1,0,1,0
"640","MSI GS66 Stealth 10UH-454 15.6"" FHD","Intel Core i9-10980HK 2.4GHz","Nvidia GeForce RTX 3070 Laptop ",1800,"https://images.versus.io/objects/msi-gs66-stealth-10uh-454-15-6-fhd-intel-core-i9-10980hk-2-4ghz-nvidia-geforce-rtx-3070-laptop-32gb-ram-1tb-ssd.front.master.1652710440809.jpg",2.1,0,1,1583.193,359,245,18,15.6,"1920 x 1080px",141,"LCD",0,1,32,3200,1,1024,"8 x 2.4GHz",16,1,1,1,0,1,1,0,0,0,1,0
"641","Asus ROG Zephyrus G15 GA503","AMD Ryzen 9 5900HS 3GHz","Nvidia GeForce RTX 3080 Laptop ",1682,"https://images.versus.io/objects/asus-rog-zephyrus-g15-ga503-amd-ryzen-9-5900hs-3ghz-nvidia-geforce-rtx-3080-laptop-16gb-ram-1tb-ssd.front.master.1610741778951.jpg",1.9,0,1,1716.673,355,243,19.9,15.6,"2560 x 1440px",188,"IPS, LCD, LED-backlit",0,1,16,4266,1,1000,"8 x 3GHz",16,0,1,1,0,1,1,0,0,1,1,0
"642","Asus ROG Strix Scar 17 G733","AMD Ryzen 9 5900HX 3.3GHz","Nvidia GeForce RTX 3060 Laptop ",2299,"https://images.versus.io/objects/asus-rog-strix-scar-17-g733-amd-ryzen-9-5900hx-3-3ghz-nvidia-geforce-rtx-3060-laptop-32gb-ram-1tb-1tb-ssd.front.master.1610650650323.jpg",2.4,0,1,3064.313,395,282.1,27.5,17.3,"2560 x 1440px",127,"IPS, LCD, LED-backlit",0,1,32,4266,1,1000,"8 x 3.3GHz",16,0,1,1,0,1,1,0,0,0,1,0
"643","Lenovo Legion 5i Pro 16"" WQXGA","Intel Core i7-12700H 2.3GHz","Nvidia GeForce RTX 3060 Laptop ",1199,"https://images.versus.io/objects/lenovo-legion-5i-pro-16-wqxga-intel-core-i7-12700h-2-3ghz-nvidia-geforce-rtx-3060-laptop-32gb-ram-1tb-ssd.front.master.1676285377248.jpg",2.49,0,1,2464.183,359,264,26,16,"2560 x 1600px",188,"IPS, LCD",0,1,32,4800,1,1024,"6 x 2.3GHz & 8 x 1.7GHz",20,1,1,1,0,1,1,0,0,0,1,0
"644","Xiaomi Redmi G Pro 16.1""","AMD Ryzen 7 6800H 3.2GHz","Nvidia GeForce RTX 3060 Laptop ",860,"https://images.versus.io/objects/xiaomi-redmi-g-pro-16-1-amd-ryzen-7-6800h-3-2ghz-nvidia-geforce-rtx-3060-laptop-16gb-ram-512gb-ssd.front.master.1686832246954.jpg",2.66,0,1,2067.123,360,261,22,16.1,"2560 x 1600px",166,"IPS",0,0,16,4800,1,512,"8 x 3.2GHz",16,1,0,0,0,1,1,0,0,0,1,0
"645","Asus ROG Zephyrus Duo 15 SE GX551","AMD Ryzen 9 5900HX 3.3GHz","Nvidia GeForce RTX 3070 Laptop ",1584,"https://images.versus.io/objects/asus-rog-zephyrus-duo-15-se-gx551-amd-ryzen-9-5900hx-3-3ghz-nvidia-geforce-rtx-3070-laptop-16gb-ram-1tb-1tb-ssd.front.master.1610716065166.jpg",2.48,0,1,2016.433,360,268,20.9,15.6,"3840 x 2160px",282,"IPS, LCD, LED-backlit",0,1,16,4266,1,1000,"8 x 3.3GHz",16,0,1,1,0,1,1,0,0,0,1,0
